Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on ,04-21-2017 11:14:10 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration FAM is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration FAM performed on ,04-21-2017 15:10:11 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration NED is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration NED performed on ,04-21-2017 11:59:55 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on ,04-21-2017 11:03:51 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROX is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROX performed on ,04-21-2017 12:19:51 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration SYBR is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration SYBR performed on ,04-21-2017 15:20:02 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration TAMRA is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration TAMRA performed on ,04-21-2017 15:29:52 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on ,04-21-2017 11:28:16 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration VIC is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration VIC performed on ,04-21-2017 12:09:46 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,06-13-2018 22:43:58 BST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,redacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,redacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,redacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Comparative C? (??C?) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,redacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,redacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio 12K Flex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
